canonical_word,alias_word,action,match_mode,note
底价,抵价,auto_hit,contains,ASR错误识别
底价,抵價,auto_hit,contains,ASR错误识别
底价,地价,auto_hit,contains,ASR错误识别
底价,地價,auto_hit,contains,ASR错误识别
低价,低价,auto_hit,contains,繁体字变体
低价,低價,auto_hit,contains,繁体字变体
最低,史低,auto_hit,contains,扩展表述
最低,史低价,auto_hit,contains,扩展表述
最低,史低價,auto_hit,contains,扩展表述
最低,历史最低,auto_hit,contains,扩展表述
最低,歷史最低,auto_hit,contains,扩展表述
最低,历史低价,auto_hit,contains,扩展表述
最低,歷史低價,auto_hit,contains,扩展表述
底价,底下,conditional_hit,price_context,条件高风险需价格语境
快手,快首,auto_hit,contains,ASR错误识别
快手,快手平台,auto_hit,contains,完整表述
快手,k手,auto_hit,contains,缩写形式
快手,KS,auto_hit,contains,缩写形式
快手,筷手,auto_hit,contains,ASR错误识别
抖音,斗音,auto_hit,contains,ASR错误识别
抖音,逗音,auto_hit,contains,ASR错误识别
抖音,豆音,auto_hit,contains,ASR错误识别
抖音,抖因,auto_hit,contains,ASR错误识别
抖音,抖陰,auto_hit,contains,繁体字变体
抖音,抖赢,auto_hit,contains,ASR错误识别
抖音,抖应,auto_hit,contains,ASR错误识别
抖音,DY,auto_hit,contains,拼音缩写
抖音,d音,auto_hit,contains,拼音首字母
抖音,抖音平台,auto_hit,contains,完整表述
最低,最低价,auto_hit,contains,完整表述
最低,最低價,auto_hit,contains,繁体字变体
最低,最低了,conditional_hit,contains,日常语境也可能使用
最低,最低的,conditional_hit,contains,日常语境也可能使用
最低,最低点,conditional_hit,contains,日常语境也可能使用
最低,最低點,conditional_hit,contains,日常语境也可能使用
最低,最低价格,auto_hit,contains,完整表述
最低,最低價格,auto_hit,contains,繁体字变体
最低,最低到手,auto_hit,contains,促销语境
最低,最底,conditional_hit,contains,ASR错误识别
最低,最抵,conditional_hit,contains,ASR错误识别
福袋,服袋,auto_hit,contains,ASR错误识别
福袋,福代,auto_hit,contains,ASR错误识别
福袋,福带,auto_hit,contains,ASR错误识别
福袋,福貸,auto_hit,contains,繁体字变体
福袋,福利袋,auto_hit,contains,扩展表述
福袋,福袋子,conditional_hit,contains,日常语境也可能使用
福袋,大福袋,auto_hit,contains,扩展表述
福袋,发福袋,auto_hit,contains,动作表述
福袋,放福袋,auto_hit,contains,动作表述
福袋,送福袋,auto_hit,contains,动作表述
福袋,抽福袋,auto_hit,contains,动作表述
灯牌,燈牌,auto_hit,contains,繁体字变体
灯牌,登牌,auto_hit,contains,ASR错误识别
灯牌,等牌,conditional_hit,contains,ASR错误识别
灯牌,灯排,conditional_hit,contains,ASR错误识别
灯牌,灯拍,conditional_hit,contains,ASR错误识别
灯牌,灯牌子,conditional_hit,contains,扩展表述
灯牌,点灯牌,auto_hit,contains,动作表述
灯牌,點燈牌,auto_hit,contains,繁体字变体
灯牌,亮灯牌,auto_hit,contains,动作表述
灯牌,粉丝灯牌,auto_hit,contains,扩展表述
灯牌,登排,conditional_hit,contains,ASR错误识别
灯牌,等排,conditional_hit,contains,ASR错误识别
小黄车,小黃車,auto_hit,contains,繁体字变体
小黄车,小皇车,auto_hit,contains,ASR错误识别
小黄车,小黄車,auto_hit,contains,混用繁简
小黄车,小黃车,auto_hit,contains,混用繁简
小黄车,小黄橱,auto_hit,contains,ASR错误识别
小黄车,小黄橙,auto_hit,contains,ASR错误识别
小黄车,小黄扯,auto_hit,contains,ASR错误识别
小黄车,小黄车儿,conditional_hit,contains,扩展表述
小黄车,小黄,conditional_hit,contains,扩展表述
小黄车,上小黄车,auto_hit,contains,动作表述
小黄车,挂小黄车,auto_hit,contains,动作表述
小黄车,拍小黄车,auto_hit,contains,动作表述
小黄车,点小黄车,auto_hit,contains,动作表述
底价,底價,auto_hit,contains,繁体字变体
底价,底架,conditional_hit,contains,ASR错误识别
底价,底佳,conditional_hit,contains,ASR错误识别
底价,底加,conditional_hit,contains,ASR错误识别
底价,低架,conditional_hit,contains,ASR错误识别
底价,低佳,conditional_hit,contains,ASR错误识别
底价,低加,conditional_hit,contains,ASR错误识别
底价,开底价,auto_hit,contains,扩展表述
底价,開底價,auto_hit,contains,繁体字变体
底价,开抵价,auto_hit,contains,扩展表述
底价,开低价,auto_hit,contains,扩展表述
